health_sys_id,health_sys_name,health_sys_city,health_sys_state,in_onekey,in_aha,onekey_id,aha_sysid,total_mds,prim_care_mds,total_nps,total_pas,grp_cnt,grp_cnt_restricted,hosp_cnt,acutehosp_cnt,nh_cnt,nh_cnt_restricted,hhco_cnt,hhco_cnt_restricted,sys_multistate,sys_beds,sys_dsch,sys_res,deg_children,sys_incl_majteachhosp,sys_incl_vmajteachhosp,sys_teachint,sys_incl_highdpphosp,sys_highucburden,sys_incl_highuchosp,sys_anyins_product,sys_mcare_adv,sys_mcaid_mngcare,sys_healthins_mktplc,sys_ownership,hos_net_revenue,hos_total_revenue
HSI00000089,Baton Rouge General Health System,Baton Rouge,LA,1,1,18185304,0993,193,88,120,22,44,41,2,2,1,1,0,0,1,425,14604,66.82,0,1,0,1,1,0,1,1,,,,1,538948585,1534444966
HSI00000090,Baxter Regional Medical Center,Mountain Home,AR,1,0,18389203,,75,25,60,6,36,30,1,1,0,0,1,1,1,169,9971,0,0,0,0,0,0,1,0,0,0,0,0,1,277480129,787044011
HSI00000094,Bayhealth,Dover,DE,1,0,17834336,,321,106,88,60,77,60,2,2,0,0,0,0,1,396,16364,42.54,0,0,0,1,0,0,0,0,0,0,0,1,887060956,2474864938
HSI00000096,Baylor Scott and White Health,Dallas,TX,1,1,18387777,0918,3943,1536,1119,662,518,426,31,25,1,1,2,1,1,3840,197475,760.86,1,1,1,1,0,0,1,1,1,1,1,1,7757139545,29363365045
HSI00000097,Baystate Health,Springfield,MA,1,1,17773461,1095,1153,401,320,267,109,97,4,4,0,0,1,1,1,939,50862,361.82,0,1,0,2,0,0,0,1,1,1,1,1,1861353608,4558119507
HSI00000098,Beacon Health System,South Bend,IN,1,1,18162616,0940,468,160,202,56,80,76,5,4,0,0,0,0,3,702,30661,27.25,0,0,0,1,1,0,0,0,0,0,0,1,1041052748,3344840736
HSI00000100,Beaufort Memorial Hospital,Beaufort,SC,1,0,18287519,,114,42,40,33,45,36,1,1,0,0,0,0,1,167,7876,0,0,0,0,0,0,0,0,0,0,0,0,3,288344612,1046671129
HSI00000103,Beebe Healthcare,Lewes,DE,1,0,18402510,,191,54,94,48,60,58,1,1,0,0,1,1,1,210,10687,0,0,0,0,0,0,0,0,0,0,0,0,1,549735445,1747645105
HSI00000105,Bellin Health Systems,Green Bay,WI,1,0,17829260,,301,101,220,69,73,69,3,2,0,0,1,1,1,204,8282,0,0,0,0,0,0,0,0,1,0,0,1,1,775411736,2005347759
HSI00000106,Beloit Health System,Beloit,WI,1,0,18395709,,121,36,34,26,17,13,1,1,0,0,2,1,1,97,4031,0,0,0,0,0,0,0,0,,,,,1,264956041,1161300655
HSI00000107,Benefis Health System,Great Falls,MT,1,1,18288440,0538,218,54,78,43,15,12,3,3,2,2,3,1,1,362,10480,0,0,0,0,0,0,0,0,1,0,0,0,1,574592780,1426680348
HSI00000109,Berkshire Health Systems,Pittsfield,MA,1,1,17779641,2435,337,134,106,52,67,58,2,2,14,14,1,1,1,262,11299,69.63,0,1,0,2,0,0,0,0,0,0,0,1,639037000,1457561719
HSI00000113,University Health System,San Antonio,TX,1,0,17773346,,540,206,194,87,35,32,1,1,0,0,0,0,1,657,31480,518.33,0,1,1,2,1,1,1,1,1,1,0,3,1096152133,4803778711
HSI00000114,Billings Clinic,Billings,MT,1,0,17830973,,620,195,134,150,37,30,13,13,5,5,0,0,2,474,16873,39.86,0,0,0,1,0,0,0,0,0,0,0,1,1090917393,1694506366
HSI00000116,Blanchard Valley Health System,Findlay,OH,1,1,17837003,0852,145,27,96,50,40,38,2,2,2,2,1,1,1,177,7655,0,0,0,0,0,0,0,0,0,0,0,0,1,374711969,781596173
HSI00000117,Blessing Health System,Quincy,IL,1,0,17725373,,233,69,113,7,53,48,2,2,1,1,1,1,1,334,13890,18.25,0,0,0,1,0,0,0,1,0,0,0,1,597771602,2433574606
HSI00000118,Blount Memorial Hospital,Maryville,TN,1,0,18722944,,134,48,103,45,30,27,1,1,1,1,1,1,1,145,8226,0,0,0,0,0,0,0,0,0,0,0,0,3,325978246,1399334069
HSI00000130,Boston Childrens Hospital,Boston,MA,1,0,17773467,,2200,860,840,140,131,130,1,1,0,0,0,0,1,485,15241,330.24,2,1,1,2,0,0,0,0,0,0,0,1,1856193148,3669972893
HSI00000131,Boston Medical Center,Boston,MA,1,0,17773462,,1789,643,478,144,90,85,1,1,0,0,0,0,1,442,21870,527.32,0,1,1,2,1,0,0,1,1,1,1,1,1406292265,3505551477
HSI00000132,Boulder Community Health,Boulder,CO,1,0,18352917,,207,65,54,47,36,33,1,1,0,0,0,0,1,139,8061,0,0,0,0,0,0,0,0,0,0,0,0,1,418345593,2098780274
HSI00000135,Bozeman Deaconess Hospital,Bozeman,MT,1,0,18389200,,189,54,70,62,28,25,1,1,0,0,0,0,1,139,6143,0,0,0,0,0,0,0,0,0,0,0,0,1,413499189,847909350
HSI00000139,Bronson Healthcare Group,Kalamazoo,MI,1,1,17773787,0595,538,197,241,206,117,107,5,4,1,1,3,2,1,602,31749,131.56,0,1,0,1,1,0,0,0,0,0,0,1,1456909821,3886289646
HSI00000140,BronxCare Health System,Bronx,NY,1,0,17774080,,415,184,67,26,28,23,1,1,1,1,0,0,1,454,22026,333.38,0,1,1,2,1,1,0,1,1,1,1,1,871269556,1420577410
HSI00000143,Bryan Health,Lincoln,NE,1,1,17773463,0400,250,93,153,111,37,36,8,8,0,0,0,0,1,700,32710,16.58,0,0,0,1,0,0,1,0,0,0,0,1,1131072924,3297683679
HSI00000146,Butler Health System,Butler,PA,1,1,17999450,0050,317,71,83,92,76,65,2,2,0,0,0,0,1,332,9878,16.71,0,1,0,1,0,0,0,0,0,0,0,1,326635300,1286735036
HSI00000147,CAMC Health System,Charleston,WV,1,1,17774081,1122,727,211,261,135,112,100,8,8,0,0,0,0,1,1087,43088,180.2,0,0,0,1,0,0,0,0,0,0,0,1,531064384,1860688320
HSI00000148,CGH Medical Center,Sterling,IL,1,0,18294505,,70,21,48,15,16,15,1,1,0,0,0,0,1,95,3597,0,0,0,0,0,0,0,0,0,0,0,0,3,247117634,1099483817
HSI00000152,Christus Health,Irving,TX,1,1,17774085,0192,1928,737,945,258,311,283,32,26,1,1,4,3,3,3916,183405,214.85,1,1,0,1,1,0,1,1,1,0,1,2,6098506336,34367513976
HSI00000154,Cabell Huntington Hospital,Huntington,WV,1,1,18391710,0952,848,358,221,53,81,77,3,3,1,1,1,1,1,740,31143,214.33,0,1,0,2,1,1,1,0,0,0,0,1,1291077281,4489390169
HSI00000155,CalvertHealth,Prince Frederick,MD,1,0,18344611,,65,17,29,10,16,12,1,1,0,0,0,0,1,78,5282,0,0,0,0,0,0,0,0,0,0,0,0,1,149966767,181037839
HSI00000156,Cambridge Health Alliance,Cambridge,MA,1,0,17778721,,533,233,90,117,33,31,1,1,1,1,0,0,1,225,6730,6.49,0,0,0,1,1,1,1,1,0,1,0,3,383908760,1064343090
HSI00000159,Campbell County Health,Gillette,WY,1,0,18166198,,79,26,23,15,11,10,1,1,1,1,1,1,1,66,2024,0,0,0,0,0,0,1,0,0,,,,3,186351643,388026799
HSI00000161,Cape Cod Healthcare,Hyannis,MA,1,1,17773299,0124,491,136,148,65,76,67,2,2,1,1,3,1,1,320,21510,3.9,0,0,0,1,0,0,0,0,0,0,0,1,867748836,2171750502
HSI00000162,Cape Fear Valley Health System,Fayetteville,NC,1,1,17773626,0835,507,214,128,131,79,70,6,4,0,0,0,0,1,811,43882,235.79,0,1,0,2,0,1,1,0,0,0,0,3,1151882727,3872165707
HSI00000164,Capital Health System,Trenton,NJ,1,1,17845401,0297,514,200,169,85,74,73,2,2,1,1,1,0,1,382,19012,125.49,0,1,0,2,0,0,0,0,0,0,0,1,1329494907,14910087785
HSI00000165,Capital Region Health Care,Concord,NH,1,0,17773627,,372,144,195,110,72,60,3,3,0,0,1,1,1,317,12472,26.85,0,0,0,1,0,0,0,0,0,0,0,1,731500246,2527205186
HSI00000166,Care New England Health System,Providence,RI,1,1,17773628,0099,1262,362,225,84,67,61,3,2,0,0,0,0,1,570,21132,171.49,0,1,0,2,1,0,0,0,0,0,0,1,828583377,2133725836
HSI00000169,Carepoint Health,Jersey City,NJ,1,1,18408021,0931,208,78,52,30,32,29,3,3,0,0,0,0,1,408,12496,98.47,0,1,0,1,1,1,1,,,,,5,380220510,8084372750
HSI00000170,Carilion Clinic,Roanoke,VA,1,1,17773464,0070,1111,376,370,247,184,165,7,7,0,0,2,2,1,838,39562,246.9,0,1,0,2,0,0,0,0,0,0,0,1,2029403736,6705444224
HSI00000171,Caromont Health System,Gastonia,NC,1,0,18192623,,272,73,143,61,64,60,1,1,1,1,0,0,1,424,22895,0,0,0,0,0,0,1,0,0,0,0,0,1,641793587,2710040359
HSI00000172,CarolinaEast Health System,New Bern,NC,1,0,18299970,,160,46,38,32,24,22,1,1,0,0,1,1,1,306,12464,0,0,0,0,0,0,0,0,0,0,0,0,3,510633233,1667615703
HSI00000178,Carson Tahoe Health,Carson City,NV,1,0,18211927,,114,33,53,28,28,24,3,1,0,0,0,0,1,175,10641,0,0,0,0,0,0,0,0,0,0,0,0,1,359182636,1479059854
HSI00000180,Skagit Regional Health,Arlington,WA,1,1,17854927,0997,282,131,72,68,33,32,2,2,0,0,0,0,1,185,8571,33.39,0,0,0,1,0,0,0,,,,,3,492085069,1777608297
HSI00000182,Catawba Valley Medical Center,Hickory,NC,1,0,18163979,,103,49,40,36,27,24,1,1,0,0,0,0,1,200,9448,0,0,0,0,0,0,0,0,0,0,0,0,3,451934430,1456839819
HSI00000186,Catholic Health,Rockville Centre,NY,1,1,17991358,0233,747,200,296,372,121,107,6,6,4,3,0,0,1,1724,76401,75.91,0,0,0,1,1,1,1,0,0,0,0,2,2587604508,11927474922
HSI00000188,Catholic Medical Center,Manchester,NH,1,0,17773465,,158,57,111,92,34,31,1,1,0,0,0,0,1,262,12407,1.5,0,0,0,1,0,0,0,0,0,0,0,1,480789746,1771080410
HSI00000189,Cayuga Medical Center,Ithaca,NY,1,1,18293435,0991,160,51,67,59,36,34,2,2,1,1,0,0,1,114,5579,33.7,0,1,0,2,0,0,1,0,,,,1,303402454,712127065
HSI00000190,Cedars Sinai Health System,West Hollywood,CA,1,1,17773789,0984,3754,949,345,264,211,201,4,4,1,1,0,0,1,1972,104648,449.71,0,1,0,1,0,0,1,1,0,0,0,1,5576013159,36548671398
HSI00000192,Centra Health,Lynchburg,VA,1,1,17846198,2265,381,151,237,73,53,49,5,4,1,0,1,1,1,562,27013,19.44,0,0,0,1,0,0,0,1,0,0,1,1,1094703075,4016503211
HSI00000193,CentraCare,Saint Cloud,MN,1,1,17773466,0184,585,271,247,149,76,70,10,10,7,7,2,1,1,650,28055,18,0,0,0,1,1,0,0,0,0,0,0,1,1430695521,3275255870
HSI00000194,Centrastate Healthcare System,Freehold,NJ,1,0,18200526,,92,35,67,20,19,15,1,1,2,2,0,0,1,240,11530,18.12,0,0,0,1,0,0,0,1,,0,0,1,307776553,1226975434
HSI00000197,Central Maine Healthcare Corporation,Lewiston,ME,1,1,17990313,1007,272,114,100,52,40,38,3,3,1,1,0,0,1,237,8758,20.5,0,0,0,1,0,0,0,0,,,,1,505155525,1407495480
HSI00000203,Erlanger Health System,Chattanooga,TN,1,1,17773636,0525,573,177,235,67,83,77,3,3,1,1,0,0,2,800,38434,178.85,0,0,0,1,1,0,1,0,0,0,0,3,1163085757,4300808860
HSI00000205,Chesapeake Regional Healthcare,Chesapeake,VA,1,0,18230771,,139,24,59,34,26,24,1,1,0,0,2,1,1,302,15433,0,0,0,0,0,0,0,0,,,,,3,398120178,1267460219
HSI00000206,Cheyenne Regional Medical Center,Cheyenne,WY,1,0,18379122,,162,41,40,27,23,21,2,1,0,0,1,0,1,147,8549,0,0,0,0,0,0,0,0,0,0,0,0,3,372364252,1043161816
HSI00000207,Childrens Minnesota,Minneapolis,MN,1,0,23066757,,414,238,350,36,47,41,2,2,0,0,2,0,1,420,14468,55.04,2,0,0,1,0,0,0,,,,,1,1016840113,2246643831
HSI00000208,Childrens Health,Dallas,TX,1,1,17773791,1039,546,171,324,117,42,40,3,3,0,0,0,0,1,448,18574,251,2,1,1,2,0,0,0,0,0,0,0,1,2245347709,4800557468
HSI00000209,Childrens Healthcare of Atlanta,Atlanta,GA,1,0,17773933,,933,299,278,120,73,69,2,2,0,0,0,0,1,649,27329,233.85,2,1,1,2,0,0,0,,,,,1,1960961358,4737767842
HSI00000210,Childrens Hospital Los Angeles,Los Angeles,CA,1,0,18295190,,809,340,218,51,28,28,1,1,0,0,0,0,1,413,17030,291.38,2,1,1,2,0,0,0,0,0,0,0,1,1208346977,3879739707
HSI00000211,Akron Childrens Hospital,Akron,OH,1,0,18289807,,442,238,298,43,93,92,1,1,0,0,1,1,1,408,10467,119.83,2,1,0,2,0,0,0,1,,1,,1,1113626754,2497540474
HSI00000212,Childrens Hospital and Health System,Wauwatosa,WI,1,1,18198805,0407,508,249,190,52,61,51,2,2,0,0,0,0,1,340,10477,201.06,2,1,1,2,0,0,0,,,,,1,862256968,1552930490
HSI00000213,Childrens Hospital and Medical Center,Omaha,NE,1,0,18294781,,317,121,144,54,32,30,1,1,0,0,1,1,1,186,4336,79.14,2,1,0,2,0,0,0,0,0,0,0,1,501071414,1070835240
HSI00000214,CHOC Childrens,Orange,CA,1,0,18235913,,809,539,92,32,46,42,2,2,0,0,0,0,1,334,13043,101,2,1,0,2,0,0,0,1,0,1,0,1,1310418726,4483384661
HSI00000215,Childrens Hospital of the Kings Daughters Health System,Norfolk,VA,1,0,18248841,,448,256,146,55,68,64,1,1,0,0,0,0,1,202,5357,108.3,2,1,0,2,0,0,0,0,0,0,0,1,546188212,1500400483
HSI00000216,Childrens National Health System,Washington,DC,1,0,17990280,,1071,419,250,68,40,40,2,1,0,0,0,0,1,323,13762,337.37,2,1,1,2,0,0,0,0,0,0,0,1,1362376834,3546821391
HSI00000217,Childrens of Alabama,Birmingham,AL,1,0,18283545,,492,252,224,8,32,28,1,1,0,0,0,0,1,351,16130,145.74,2,1,0,2,0,0,0,0,0,0,0,1,860206699,1739682137
HSI00000218,ChristianaCare,Wilmington,DE,1,1,17774086,0131,1054,413,405,285,167,146,2,2,0,0,3,2,2,1296,71250,245.66,0,0,0,1,0,0,0,1,1,0,0,1,2445535654,5820256305
HSI00000224,Cincinnati Childrens Hospital Medical Center,Cincinnati,OH,1,0,18290105,,1177,419,623,51,36,33,1,1,0,0,1,1,1,711,18484,403.7,2,1,0,2,0,0,0,1,,1,,1,2508408288,4034418245
HSI00000225,Citizens Memorial Healthcare,Bolivar,MO,1,0,18294931,,86,33,55,26,45,34,1,1,6,6,1,1,1,52,2405,0,0,0,0,0,0,0,0,0,0,0,0,3,178318124,555191401
HSI00000226,Emanate Health,Covina,CA,1,1,17773304,0101,158,62,20,47,22,19,3,3,1,1,0,0,1,586,26596,23.43,0,0,0,1,1,1,1,1,0,0,0,1,632543769,3213382769
HSI00000229,Olympic Medical Center,Port Angeles,WA,1,0,18378192,,149,47,30,28,21,18,1,1,0,0,1,1,1,78,3300,2.47,0,0,0,1,0,0,0,0,0,0,0,3,237852054,503173244
HSI00000235,Colquitt Regional Medical Center,Moultrie,GA,1,0,18289883,,82,39,28,10,19,17,1,1,1,1,1,1,1,100,6219,21.21,0,0,0,1,0,0,0,0,0,0,0,3,201901119,661035388
HSI00000236,Columbia Memorial Health,Hudson,NY,1,0,18381414,,127,35,32,42,38,36,1,1,0,0,0,0,1,192,3196,0,0,0,0,0,0,1,0,0,0,0,0,1,129707715,524124812
HSI00000240,Columbus Regional Health,Columbus,IN,1,0,18381333,,140,55,81,17,39,36,1,1,0,0,0,0,1,213,9065,0,0,0,0,0,0,0,0,1,1,0,0,3,394080941,989621640
HSI00000242,Comanche County Memorial Hospital,Lawton,OK,1,0,18198812,,162,70,62,12,36,35,1,1,1,1,1,1,1,201,10174,26.28,0,0,0,1,0,0,0,0,0,0,0,3,304169153,1260684284
HSI00000244,Commonwealth Health Corporation,Bowling Green,KY,1,1,17817688,0520,153,51,61,17,30,25,6,5,2,1,1,1,1,413,15015,68.93,0,0,0,1,0,0,0,,,,,1,554651258,1750601017
HSI00000246,Community Foundation of Northwest Indiana,Munster,IN,1,1,17847667,0249,445,125,197,45,149,138,4,3,1,1,2,2,1,707,28796,0,0,0,0,0,1,0,0,,,,,1,1072607175,4338272763
HSI00000248,Community Health Network,Indianapolis,IN,1,1,17773632,0401,1009,400,521,191,245,222,10,5,0,0,0,0,1,1118,59711,61.8,0,0,0,1,1,0,0,1,1,0,0,1,2800307468,9259368712
HSI00000249,Community Health Systems,Franklin,TN,1,1,17773305,0080,3738,1328,1672,524,952,844,81,77,5,4,4,4,3,9046,394290,400.7,0,1,1,1,1,0,1,1,0,1,0,5,10694074437,93951473897
HSI00000251,Community Hospital Corporation,Plano,TX,1,1,18386637,0384,409,192,150,36,44,40,20,11,0,0,0,0,3,772,24829,36.53,0,0,0,1,1,1,1,0,0,0,0,1,904157142,4048882256
HSI00000253,Community Medical Centers,Clovis,CA,1,1,17773469,1085,351,127,85,87,31,25,4,2,1,1,2,1,1,1135,55833,226.43,0,1,0,1,1,0,0,,,,,1,2124912039,9062876520
HSI00000255,Community Memorial Health System,Ventura,CA,1,1,18386550,0990,282,134,21,29,20,20,2,2,1,1,0,0,1,254,15662,90,0,1,0,2,0,0,0,0,0,0,0,1,539524831,1773482775
HSI00000263,Cone Health,Greensboro,NC,1,1,17773648,0950,723,268,260,163,149,131,3,3,1,1,0,0,1,936,51803,60.14,0,0,0,1,0,0,0,1,1,0,0,1,1672470635,5773597736
HSI00000264,Conejos County Hospital Corporation,La Jara,CO,1,1,18164066,0914,56,14,23,17,8,7,2,2,0,0,0,0,1,66,2145,0,0,0,0,0,1,0,0,0,0,0,0,1,116900159,285850957
HSI00000266,Confluence Health,Wenatchee,WA,1,0,18379550,,344,122,94,113,33,31,3,2,0,0,2,1,1,198,9559,0,0,0,0,0,0,1,0,1,1,,1,1,970193473,2394833635
HSI00000268,Connecticut Childrens Medical Center Foundation,Hartford,CT,1,0,22240668,,377,99,167,83,25,24,1,1,0,0,0,0,1,187,7196,98.87,2,1,0,2,0,0,0,,,,,1,467816565,1186662005
